series_id,source_pdf,source_page,source_figure,year,region,sex,age_class,age_class_source,value,flag,retrieved_at
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,50～59歳,50～59歳,4423,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7576,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,不詳,不詳,72,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1991,全国,総数,合計,合計,21084,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,～19歳,～９歳|10～19歳,524,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,20～29歳,20～29歳,2313,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,30～39歳,30～39歳,2391,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,40～49歳,40～49歳,4186,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,50～59歳,50～59歳,4708,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7912,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,不詳,不詳,70,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1992,全国,総数,合計,合計,22104,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,～19歳,～９歳|10～19歳,446,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,20～29歳,20～29歳,2251,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,30～39歳,30～39歳,2473,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,40～49歳,40～49歳,4146,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,50～59歳,50～59歳,4846,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7525,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,不詳,不詳,164,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1993,全国,総数,合計,合計,21851,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,～19歳,～９歳|10～19歳,580,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,20～29歳,20～29歳,2494,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,30～39歳,30～39歳,2410,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,40～49歳,40～49歳,3806,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,50～59歳,50～59歳,4732,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7438,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,不詳,不詳,219,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1994,全国,総数,合計,合計,21679,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,～19歳,～９歳|10～19歳,515,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,20～29歳,20～29歳,2509,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,30～39歳,30～39歳,2467,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,40～49歳,40～49歳,3999,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,50～59歳,50～59歳,5031,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7739,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,不詳,不詳,185,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1995,全国,総数,合計,合計,22445,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,～19歳,～９歳|10～19歳,492,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,20～29歳,20～29歳,2457,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,30～39歳,30～39歳,2501,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,40～49歳,40～49歳,4147,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,50～59歳,50～59歳,5013,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,60歳～,60～69歳|70～79歳|80歳～,8244,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,不詳,不詳,250,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1996,全国,総数,合計,合計,23104,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,～19歳,～９歳|10～19歳,469,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,20～29歳,20～29歳,2534,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,30～39歳,30～39歳,2767,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,40～49歳,40～49歳,4200,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,50～59歳,50～59歳,5422,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,60歳～,60～69歳|70～79歳|80歳～,8747,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,不詳,不詳,252,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1997,全国,総数,合計,合計,24391,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1998,全国,総数,～19歳,～９歳|10～19歳,720,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1998,全国,総数,20～29歳,20～29歳,3472,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1998,全国,総数,30～39歳,30～39歳,3614,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1998,全国,総数,40～49歳,40～49歳,5359,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1998,全国,総数,50～59歳,50～59歳,7898,,2026-09-07T08:43:26+00:00
