series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,65～69歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,368,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,70～74歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,409,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,75～79歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,458,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,80～84歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,350,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,85～89歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,253,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,90～94歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,152,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,95～99歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,53,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,100歳以上,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,8,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）15歳未満,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,657,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）15～64歳,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,3617,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）65歳以上,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,2052,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）うち75歳以上,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,1274,,2026-09-07T09:10:32Z
pop_total_5y_2025,0003443838,2025年10月,人口推計の総人口（概算値・5歳階級・2025年10月、全国）,万人,2025,,（再掲）うち85歳以上,表章項目=人口,人口=総人口; 男女別=女; 概算値=概算値; 全国=全国,466,,2026-09-07T09:10:32Z
