series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,13歳,男女別・性比=男女計,人口=総人口; 全国=全国,1509,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,13歳,男女別・性比=男女計,人口=総人口; 全国=全国,1493,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,13歳,男女別・性比=男女計,人口=総人口; 全国=全国,1442,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,13歳,男女別・性比=男女計,人口=総人口; 全国=全国,1381,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,14歳,男女別・性比=男女計,人口=総人口; 全国=全国,1531,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,14歳,男女別・性比=男女計,人口=総人口; 全国=全国,1515,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,14歳,男女別・性比=男女計,人口=総人口; 全国=全国,1510,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,14歳,男女別・性比=男女計,人口=総人口; 全国=全国,1494,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,14歳,男女別・性比=男女計,人口=総人口; 全国=全国,1442,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1995年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1995,,15歳,男女別・性比=男女計,人口=総人口; 全国=全国,1602,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1996年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1996,,15歳,男女別・性比=男女計,人口=総人口; 全国=全国,1533,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1997年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1997,,15歳,男女別・性比=男女計,人口=総人口; 全国=全国,1517,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1998年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1998,,15歳,男女別・性比=男女計,人口=総人口; 全国=全国,1512,,2026-09-07T09:10:21Z
pop_total_single_age_annual,0004029959,1999年10月1日現在,人口推計の総人口及び日本人人口（各歳・確定値、全国）,千人,1999,,15歳,男女別・性比=男女計,人口=総人口; 全国=全国,1496,,2026-09-07T09:10:21Z
